Package Name,Resolved Version,Advisory ID,Title,CVSS Score,CVSS Type,CVSS Vector,Official Severity,Aliases,Advisory URL,Severity Rank
@ai-sdk/provider-utils,2.2.8,GHSA-866g-f22w-33x8,@ai-sdk/provider-utils has an Uncontrolled Resource Consumption issue,4.3,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L,LOW,CVE-2026-8769,https://nvd.nist.gov/vuln/detail/CVE-2026-8769,1
@grpc/grpc-js,1.13.1,GHSA-5375-pq7m-f5r2,@grpc/grpc-js: A malformed request can cause a server crash,7.5,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,CVE-2026-48068,https://github.com/grpc/grpc-node/security/advisories/GHSA-5375-pq7m-f5r2,3
@grpc/grpc-js,1.13.1,GHSA-99f4-grh7-6pcq,@grpc/grpc-js: An incoming malformed compressed message can cause a client or server crash,7.5,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,CVE-2026-48069,https://github.com/grpc/grpc-node/security/advisories/GHSA-99f4-grh7-6pcq,3
@hono/node-server,1.19.14,GHSA-frvp-7c67-39w9,Node.js Adapter for Hono: Path traversal in `serve-static` on Windows via encoded backslash (`%5C`),5.9,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,MODERATE,,https://github.com/honojs/node-server/security/advisories/GHSA-frvp-7c67-39w9,2
@langchain/community,0.3.59,GHSA-gf3v-fwqg-4vh7,@langchain/community affected by SSRF Bypass in RecursiveUrlLoader via insufficient URL origin validation,4.1,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:N/A:N,MODERATE,CVE-2026-26019,https://github.com/langchain-ai/langchainjs/security/advisories/GHSA-gf3v-fwqg-4vh7,2
@langchain/community,0.3.59,GHSA-mphv-75cg-56wg,LangChain Community: redirect chaining can lead to SSRF bypass via RecursiveUrlLoader,4.1,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:N/A:N,MODERATE,CVE-2026-27795,https://github.com/langchain-ai/langchainjs/security/advisories/GHSA-gf3v-fwqg-4vh7,2
@langchain/community,1.1.12,GHSA-gf3v-fwqg-4vh7,@langchain/community affected by SSRF Bypass in RecursiveUrlLoader via insufficient URL origin validation,4.1,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:N/A:N,MODERATE,CVE-2026-26019,https://github.com/langchain-ai/langchainjs/security/advisories/GHSA-gf3v-fwqg-4vh7,2
@langchain/community,1.1.12,GHSA-mphv-75cg-56wg,LangChain Community: redirect chaining can lead to SSRF bypass via RecursiveUrlLoader,4.1,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:N/A:N,MODERATE,CVE-2026-27795,https://github.com/langchain-ai/langchainjs/security/advisories/GHSA-gf3v-fwqg-4vh7,2
@langchain/core,0.2.36,GHSA-r399-636x-v7f6,LangChain serialization injection vulnerability enables secret extraction,8.6,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:N/A:N,HIGH,CVE-2025-68665,https://github.com/langchain-ai/langchainjs/security/advisories/GHSA-r399-636x-v7f6,3
@modelcontextprotocol/sdk,1.0.1,GHSA-w48q-cv73-mx4w,Model Context Protocol (MCP) TypeScript SDK does not enable DNS rebinding protection by default,7.6,CVSS_V4,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:P/VC:H/VI:H/VA:N/SC:N/SI:N/SA:N,HIGH,CVE-2025-66414,https://github.com/modelcontextprotocol/typescript-sdk/security/advisories/GHSA-w48q-cv73-mx4w,3
